dataset_index,distortion_type,severity_level,parameter_value,clean_keypoints,distorted_keypoints,good_matches,match_accuracy
1390,jpeg_compression,medium,20.0,1412,1417,1125,0.796742209631728
1390,jpeg_compression,severe,5.0,1412,1414,730,0.5169971671388102
1390,low_light,mild,0.6,1412,1318,1135,0.8611532625189682
1390,low_light,medium,0.35,1412,795,687,0.8641509433962264
1390,low_light,severe,0.15,1412,29,29,1.0
1422,gaussian_noise,mild,10.0,1437,1445,1150,0.8002783576896312
1422,gaussian_noise,medium,25.0,1437,1446,825,0.5741127348643006
1422,gaussian_noise,severe,50.0,1437,1453,474,0.3298538622129436
1422,jpeg_compression,mild,50.0,1437,1442,1041,0.7244258872651357
1422,jpeg_compression,medium,20.0,1437,1435,840,0.5853658536585366
1422,jpeg_compression,severe,5.0,1437,1455,373,0.2595685455810717
1422,low_light,mild,0.6,1437,1210,1074,0.8876033057851239
1422,low_light,medium,0.35,1437,650,540,0.8307692307692308
1422,low_light,severe,0.15,1437,5,5,1.0
1442,gaussian_noise,mild,10.0,1338,1337,1131,0.8459237097980553
1442,gaussian_noise,medium,25.0,1338,1360,934,0.6980568011958147
1442,gaussian_noise,severe,50.0,1338,1403,619,0.46263079222720477
1442,jpeg_compression,mild,50.0,1338,1342,1066,0.796711509715994
1442,jpeg_compression,medium,20.0,1338,1335,858,0.6426966292134831
1442,jpeg_compression,severe,5.0,1338,1374,541,0.40433482810164423
1442,low_light,mild,0.6,1338,1070,967,0.9037383177570093
1442,low_light,medium,0.35,1338,647,597,0.9227202472952086
1442,low_light,severe,0.15,1338,97,96,0.9896907216494846
1452,gaussian_noise,mild,10.0,1421,1426,1128,0.7938071780436312
1452,gaussian_noise,medium,25.0,1421,1430,832,0.585503166783955
1452,gaussian_noise,severe,50.0,1421,1446,463,0.32582688247712877
1452,jpeg_compression,mild,50.0,1421,1414,1070,0.7567185289957568
1452,jpeg_compression,medium,20.0,1421,1418,929,0.655148095909732
1452,jpeg_compression,severe,5.0,1421,1451,407,0.28641801548205487
1452,low_light,mild,0.6,1421,1004,827,0.8237051792828686
1452,low_light,medium,0.35,1421,351,326,0.9287749287749287
1452,low_light,severe,0.15,1421,11,10,0.9090909090909091
1460,gaussian_noise,mild,10.0,772,920,519,0.6722797927461139
1460,gaussian_noise,medium,25.0,772,1117,317,0.4106217616580311
1460,gaussian_noise,severe,50.0,772,1271,142,0.18393782383419688
1460,jpeg_compression,mild,50.0,772,613,463,0.7553017944535073
1460,jpeg_compression,medium,20.0,772,750,374,0.49866666666666665
1460,jpeg_compression,severe,5.0,772,860,136,0.17616580310880828
1460,low_light,mild,0.6,772,206,202,0.9805825242718447
1460,low_light,medium,0.35,772,76,70,0.9210526315789473
1460,low_light,severe,0.15,772,16,13,0.8125
