dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,class_name,true_positives,false_positives,false_negatives,num_predictions,num_ground_truth_objects
88,2007_002895,jpeg_compression,severe,5.0,17.79739800291545,person,2,0,0,2,2
88,2007_002895,low_light,mild,0.6,7.9239748430724335,person,2,1,0,3,2
88,2007_002895,low_light,medium,0.35,3.7093689597583794,person,2,1,0,3,2
88,2007_002895,low_light,severe,0.15,1.3870771014278818,person,2,2,0,4,2
99,2007_003191,gaussian_noise,mild,10.0,22.318692381321892,person,1,0,0,1,1
99,2007_003191,gaussian_noise,medium,25.0,14.522058195395946,person,1,0,0,1,1
99,2007_003191,gaussian_noise,severe,50.0,8.902644599899238,person,1,0,0,1,1
99,2007_003191,jpeg_compression,mild,50.0,27.926754187313662,person,1,0,0,1,1
99,2007_003191,jpeg_compression,medium,20.0,24.9295627319646,person,1,0,0,1,1
99,2007_003191,jpeg_compression,severe,5.0,18.677966926383473,person,0,0,1,0,1
99,2007_003191,low_light,mild,0.6,7.899995056330299,person,1,0,0,1,1
99,2007_003191,low_light,medium,0.35,3.698218918717087,person,1,0,0,1,1
99,2007_003191,low_light,severe,0.15,1.3784405733369836,person,1,0,0,1,1
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,cat,0,1,0,1,0
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,chair,0,2,0,2,0
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,diningtable,1,0,0,1,1
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,dog,0,0,1,0,1
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,sofa,0,3,0,3,0
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,tvmonitor,0,1,0,1,0
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,diningtable,0,0,1,0,1
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,dog,0,0,1,0,1
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,sofa,0,3,0,3,0
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,tvmonitor,0,1,0,1,0
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,diningtable,0,0,1,0,1
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,dog,0,0,1,0,1
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,cat,0,1,0,1,0
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,chair,0,2,0,2,0
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,diningtable,0,0,1,0,1
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,dog,0,0,1,0,1
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,sofa,0,2,0,2,0
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,tvmonitor,0,1,0,1,0
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,chair,0,1,0,1,0
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,diningtable,0,0,1,0,1
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,dog,0,0,1,0,1
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,sofa,0,1,0,1,0
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,tvmonitor,0,1,0,1,0
127,2007_004166,jpeg_compression,severe,5.0,12.779270997582103,diningtable,0,0,1,0,1
127,2007_004166,jpeg_compression,severe,5.0,12.779270997582103,dog,0,0,1,0,1
127,2007_004166,jpeg_compression,severe,5.0,12.779270997582103,tvmonitor,0,1,0,1,0
127,2007_004166,low_light,mild,0.6,7.894933360479781,cat,0,1,0,1,0
127,2007_004166,low_light,mild,0.6,7.894933360479781,chair,0,3,0,3,0
127,2007_004166,low_light,mild,0.6,7.894933360479781,diningtable,1,0,0,1,1
127,2007_004166,low_light,mild,0.6,7.894933360479781,dog,0,0,1,0,1
127,2007_004166,low_light,mild,0.6,7.894933360479781,sofa,0,2,0,2,0
127,2007_004166,low_light,mild,0.6,7.894933360479781,tvmonitor,0,1,0,1,0
127,2007_004166,low_light,medium,0.35,3.6950268823317622,cat,0,1,0,1,0
127,2007_004166,low_light,medium,0.35,3.6950268823317622,chair,0,2,0,2,0
127,2007_004166,low_light,medium,0.35,3.6950268823317622,diningtable,1,0,0,1,1
127,2007_004166,low_light,medium,0.35,3.6950268823317622,dog,0,0,1,0,1
127,2007_004166,low_light,medium,0.35,3.6950268823317622,sofa,0,2,0,2,0
127,2007_004166,low_light,medium,0.35,3.6950268823317622,tvmonitor,0,1,0,1,0
127,2007_004166,low_light,severe,0.15,1.3758359851407918,cat,0,1,0,1,0
127,2007_004166,low_light,severe,0.15,1.3758359851407918,chair,0,1,0,1,0
127,2007_004166,low_light,severe,0.15,1.3758359851407918,diningtable,0,0,1,0,1
127,2007_004166,low_light,severe,0.15,1.3758359851407918,dog,0,0,1,0,1
127,2007_004166,low_light,severe,0.15,1.3758359851407918,sofa,0,2,0,2,0
127,2007_004166,low_light,severe,0.15,1.3758359851407918,tvmonitor,0,1,0,1,0
160,2007_005262,gaussian_noise,mild,10.0,22.499437840067863,bus,1,0,0,1,1
160,2007_005262,gaussian_noise,mild,10.0,22.499437840067863,car,2,2,0,4,2
160,2007_005262,gaussian_noise,medium,25.0,14.673178550424401,bus,1,0,0,1,1
160,2007_005262,gaussian_noise,medium,25.0,14.673178550424401,car,2,0,0,2,2
160,2007_005262,gaussian_noise,medium,25.0,14.673178550424401,person,0,1,0,1,0
160,2007_005262,gaussian_noise,severe,50.0,9.019962506369827,bus,0,0,1,0,1
160,2007_005262,gaussian_noise,severe,50.0,9.019962506369827,car,1,0,1,1,2
160,2007_005262,gaussian_noise,severe,50.0,9.019962506369827,person,0,1,0,1,0
160,2007_005262,jpeg_compression,mild,50.0,21.47173427689236,bus,1,0,0,1,1
160,2007_005262,jpeg_compression,mild,50.0,21.47173427689236,car,2,1,0,3,2
160,2007_005262,jpeg_compression,mild,50.0,21.47173427689236,person,0,2,0,2,0
160,2007_005262,jpeg_compression,medium,20.0,18.416783860879605,bus,1,0,0,1,1
160,2007_005262,jpeg_compression,medium,20.0,18.416783860879605,car,2,1,0,3,2
160,2007_005262,jpeg_compression,medium,20.0,18.416783860879605,person,0,1,0,1,0
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,bus,1,0,0,1,1
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,car,1,0,1,1,2
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,person,0,1,0,1,0
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,train,0,2,0,2,0
160,2007_005262,low_light,mild,0.6,7.901189103369771,bus,1,0,0,1,1
160,2007_005262,low_light,mild,0.6,7.901189103369771,car,2,2,0,4,2
160,2007_005262,low_light,medium,0.35,3.6986417688211666,bus,1,0,0,1,1
160,2007_005262,low_light,medium,0.35,3.6986417688211666,car,2,1,0,3,2
160,2007_005262,low_light,severe,0.15,1.3788135731020712,bus,1,0,0,1,1
160,2007_005262,low_light,severe,0.15,1.3788135731020712,car,2,1,0,3,2
165,2007_005360,gaussian_noise,mild,10.0,24.672238307297036,car,0,2,0,2,0
165,2007_005360,gaussian_noise,mild,10.0,24.672238307297036,train,2,0,0,2,2
165,2007_005360,gaussian_noise,medium,25.0,17.03728774464312,car,0,1,0,1,0
165,2007_005360,gaussian_noise,medium,25.0,17.03728774464312,train,2,0,0,2,2
165,2007_005360,gaussian_noise,severe,50.0,11.633679824543714,train,1,0,1,1,2
165,2007_005360,jpeg_compression,mild,50.0,23.0206499633182,car,0,2,0,2,0
165,2007_005360,jpeg_compression,mild,50.0,23.0206499633182,person,0,1,0,1,0
165,2007_005360,jpeg_compression,mild,50.0,23.0206499633182,train,2,0,0,2,2
165,2007_005360,jpeg_compression,medium,20.0,19.661595798742816,train,2,0,0,2,2
165,2007_005360,jpeg_compression,severe,5.0,15.971848689239248,train,1,0,1,1,2
165,2007_005360,low_light,mild,0.6,7.912621483795003,car,0,2,0,2,0
165,2007_005360,low_light,mild,0.6,7.912621483795003,train,2,0,0,2,2
165,2007_005360,low_light,medium,0.35,3.707986287786511,car,0,2,0,2,0
165,2007_005360,low_light,medium,0.35,3.707986287786511,train,2,0,0,2,2
165,2007_005360,low_light,severe,0.15,1.3856447386406903,train,2,0,0,2,2
167,2007_005430,gaussian_noise,mild,10.0,22.405615340731458,bicycle,1,0,0,1,1
167,2007_005430,gaussian_noise,mild,10.0,22.405615340731458,person,1,0,0,1,1
167,2007_005430,gaussian_noise,medium,25.0,14.711473645844821,bicycle,1,0,0,1,1
167,2007_005430,gaussian_noise,medium,25.0,14.711473645844821,person,1,0,0,1,1
167,2007_005430,gaussian_noise,severe,50.0,9.204030644330754,bicycle,0,0,1,0,1
167,2007_005430,gaussian_noise,severe,50.0,9.204030644330754,person,1,0,0,1,1
167,2007_005430,jpeg_compression,mild,50.0,18.429237638379387,bicycle,1,0,0,1,1
167,2007_005430,jpeg_compression,mild,50.0,18.429237638379387,person,1,0,0,1,1
167,2007_005430,jpeg_compression,medium,20.0,15.188998550247568,bicycle,1,0,0,1,1
167,2007_005430,jpeg_compression,medium,20.0,15.188998550247568,person,1,0,0,1,1
167,2007_005430,jpeg_compression,severe,5.0,12.630888849861066,bicycle,0,0,1,0,1
167,2007_005430,jpeg_compression,severe,5.0,12.630888849861066,person,1,0,0,1,1
167,2007_005430,low_light,mild,0.6,7.903347049904021,bicycle,1,0,0,1,1
167,2007_005430,low_light,mild,0.6,7.903347049904021,person,1,0,0,1,1
167,2007_005430,low_light,medium,0.35,3.7005515491801884,bicycle,1,0,0,1,1
167,2007_005430,low_light,medium,0.35,3.7005515491801884,person,1,0,0,1,1
167,2007_005430,low_light,severe,0.15,1.3800736761606636,bicycle,1,0,0,1,1
167,2007_005430,low_light,severe,0.15,1.3800736761606636,person,1,0,0,1,1
187,2007_006281,gaussian_noise,mild,10.0,24.826208228209854,boat,1,3,1,4,2
187,2007_006281,gaussian_noise,medium,25.0,16.994758989187314,boat,0,0,2,0,2
187,2007_006281,gaussian_noise,severe,50.0,11.689509000985122,boat,0,0,2,0,2
187,2007_006281,jpeg_compression,mild,50.0,29.083209667444066,boat,0,0,2,0,2
187,2007_006281,jpeg_compression,medium,20.0,25.99844264069693,boat,1,0,1,1,2
187,2007_006281,jpeg_compression,severe,5.0,21.04056657627176,boat,0,0,2,0,2
187,2007_006281,low_light,mild,0.6,7.911667496033296,boat,1,2,1,3,2
187,2007_006281,low_light,medium,0.35,3.707353490212855,boat,1,2,1,3,2
187,2007_006281,low_light,severe,0.15,1.3852156067250885,boat,0,0,2,0,2
189,2007_006317,gaussian_noise,mild,10.0,22.028942098502753,bicycle,1,0,0,1,1
189,2007_006317,gaussian_noise,mild,10.0,22.028942098502753,bus,1,0,0,1,1
189,2007_006317,gaussian_noise,mild,10.0,22.028942098502753,person,1,0,0,1,1
189,2007_006317,gaussian_noise,medium,25.0,14.137195784408313,bicycle,1,0,0,1,1
189,2007_006317,gaussian_noise,medium,25.0,14.137195784408313,bus,0,0,1,0,1
189,2007_006317,gaussian_noise,medium,25.0,14.137195784408313,person,1,0,0,1,1
189,2007_006317,gaussian_noise,severe,50.0,8.4402255667343,bicycle,1,0,0,1,1
189,2007_006317,gaussian_noise,severe,50.0,8.4402255667343,bus,0,0,1,0,1
189,2007_006317,gaussian_noise,severe,50.0,8.4402255667343,person,1,0,0,1,1
189,2007_006317,jpeg_compression,mild,50.0,26.047757274225994,bicycle,1,0,0,1,1
189,2007_006317,jpeg_compression,mild,50.0,26.047757274225994,bus,1,1,0,2,1
189,2007_006317,jpeg_compression,mild,50.0,26.047757274225994,person,1,0,0,1,1
189,2007_006317,jpeg_compression,medium,20.0,23.195065793162904,bicycle,1,0,0,1,1
189,2007_006317,jpeg_compression,medium,20.0,23.195065793162904,bus,1,1,0,2,1
189,2007_006317,jpeg_compression,medium,20.0,23.195065793162904,person,1,0,0,1,1
189,2007_006317,jpeg_compression,medium,20.0,23.195065793162904,train,0,1,0,1,0
189,2007_006317,jpeg_compression,severe,5.0,18.220844576077937,bicycle,0,0,1,0,1
189,2007_006317,jpeg_compression,severe,5.0,18.220844576077937,bus,0,0,1,0,1
189,2007_006317,jpeg_compression,severe,5.0,18.220844576077937,person,0,0,1,0,1
189,2007_006317,low_light,mild,0.6,7.894751108336978,bicycle,1,0,0,1,1
189,2007_006317,low_light,mild,0.6,7.894751108336978,bus,1,1,0,2,1
189,2007_006317,low_light,mild,0.6,7.894751108336978,person,1,0,0,1,1
189,2007_006317,low_light,medium,0.35,3.6948484521670184,bicycle,1,0,0,1,1
189,2007_006317,low_light,medium,0.35,3.6948484521670184,bus,1,0,0,1,1
189,2007_006317,low_light,medium,0.35,3.6948484521670184,person,1,0,0,1,1
189,2007_006317,low_light,severe,0.15,1.3757078464251817,bicycle,1,0,0,1,1
189,2007_006317,low_light,severe,0.15,1.3757078464251817,bus,1,0,0,1,1
189,2007_006317,low_light,severe,0.15,1.3757078464251817,person,1,0,0,1,1
195,2007_006490,gaussian_noise,mild,10.0,24.036557176427497,bird,1,0,0,1,1
195,2007_006490,gaussian_noise,mild,10.0,24.036557176427497,boat,1,0,1,1,2
195,2007_006490,gaussian_noise,mild,10.0,24.036557176427497,person,1,0,0,1,1
195,2007_006490,gaussian_noise,medium,25.0,16.15304485535889,bird,0,0,1,0,1
195,2007_006490,gaussian_noise,medium,25.0,16.15304485535889,boat,0,0,2,0,2
195,2007_006490,gaussian_noise,medium,25.0,16.15304485535889,person,1,0,0,1,1
195,2007_006490,gaussian_noise,severe,50.0,10.612524970848508,bird,0,0,1,0,1
195,2007_006490,gaussian_noise,severe,50.0,10.612524970848508,boat,0,0,2,0,2
195,2007_006490,gaussian_noise,severe,50.0,10.612524970848508,person,1,0,0,1,1
195,2007_006490,jpeg_compression,mild,50.0,31.243731349193276,bird,0,0,1,0,1
195,2007_006490,jpeg_compression,mild,50.0,31.243731349193276,boat,0,1,2,1,2
195,2007_006490,jpeg_compression,mild,50.0,31.243731349193276,person,1,0,0,1,1
195,2007_006490,jpeg_compression,medium,20.0,28.14710510856657,bird,0,0,1,0,1
195,2007_006490,jpeg_compression,medium,20.0,28.14710510856657,boat,0,0,2,0,2
195,2007_006490,jpeg_compression,medium,20.0,28.14710510856657,person,1,0,0,1,1
195,2007_006490,jpeg_compression,severe,5.0,21.922265380554492,bird,0,0,1,0,1
195,2007_006490,jpeg_compression,severe,5.0,21.922265380554492,boat,0,0,2,0,2
195,2007_006490,jpeg_compression,severe,5.0,21.922265380554492,person,1,0,0,1,1
195,2007_006490,low_light,mild,0.6,7.90666777394418,bird,1,0,0,1,1
195,2007_006490,low_light,mild,0.6,7.90666777394418,boat,1,1,1,2,2
195,2007_006490,low_light,mild,0.6,7.90666777394418,person,1,0,0,1,1
195,2007_006490,low_light,medium,0.35,3.704136509468294,bird,1,0,0,1,1
195,2007_006490,low_light,medium,0.35,3.704136509468294,boat,1,0,1,1,2
195,2007_006490,low_light,medium,0.35,3.704136509468294,person,1,0,0,1,1
195,2007_006490,low_light,severe,0.15,1.3821638347180834,bird,1,1,0,2,1
195,2007_006490,low_light,severe,0.15,1.3821638347180834,boat,0,0,2,0,2
195,2007_006490,low_light,severe,0.15,1.3821638347180834,person,1,0,0,1,1
196,2007_006530,gaussian_noise,mild,10.0,22.727256721189217,chair,2,0,1,2,3
196,2007_006530,gaussian_noise,mild,10.0,22.727256721189217,pottedplant,0,1,0,1,0
196,2007_006530,gaussian_noise,mild,10.0,22.727256721189217,sofa,1,1,0,2,1
196,2007_006530,gaussian_noise,medium,25.0,14.951834429418309,chair,0,0,3,0,3
196,2007_006530,gaussian_noise,medium,25.0,14.951834429418309,sofa,1,3,0,4,1
196,2007_006530,gaussian_noise,severe,50.0,9.475388714210576,chair,0,0,3,0,3
196,2007_006530,gaussian_noise,severe,50.0,9.475388714210576,sofa,0,0,1,0,1
196,2007_006530,jpeg_compression,mild,50.0,24.588804916618674,chair,2,0,1,2,3
196,2007_006530,jpeg_compression,mild,50.0,24.588804916618674,sofa,1,2,0,3,1
196,2007_006530,jpeg_compression,medium,20.0,21.74482576918702,chair,0,0,3,0,3
196,2007_006530,jpeg_compression,medium,20.0,21.74482576918702,sofa,1,1,0,2,1
196,2007_006530,jpeg_compression,severe,5.0,17.513040546326607,chair,0,0,3,0,3
196,2007_006530,jpeg_compression,severe,5.0,17.513040546326607,sofa,0,0,1,0,1
196,2007_006530,low_light,mild,0.6,7.9030620853864555,chair,2,1,1,3,3
196,2007_006530,low_light,mild,0.6,7.9030620853864555,pottedplant,0,1,0,1,0
196,2007_006530,low_light,mild,0.6,7.9030620853864555,sofa,1,1,0,2,1
196,2007_006530,low_light,medium,0.35,3.700694736055739,chair,2,0,1,2,3
196,2007_006530,low_light,medium,0.35,3.700694736055739,pottedplant,0,1,0,1,0
196,2007_006530,low_light,medium,0.35,3.700694736055739,sofa,1,1,0,2,1
196,2007_006530,low_light,severe,0.15,1.380344231992877,chair,1,0,2,1,3
196,2007_006530,low_light,severe,0.15,1.380344231992877,pottedplant,0,1,0,1,0
196,2007_006530,low_light,severe,0.15,1.380344231992877,sofa,1,1,0,2,1
202,2007_006660,gaussian_noise,mild,10.0,21.946187044333595,boat,1,1,1,2,2
202,2007_006660,gaussian_noise,mild,10.0,21.946187044333595,car,1,0,0,1,1
202,2007_006660,gaussian_noise,medium,25.0,14.113453335610899,boat,0,0,2,0,2
202,2007_006660,gaussian_noise,medium,25.0,14.113453335610899,car,1,0,0,1,1
202,2007_006660,gaussian_noise,severe,50.0,8.453118424726043,boat,0,0,2,0,2
202,2007_006660,gaussian_noise,severe,50.0,8.453118424726043,car,1,0,0,1,1
202,2007_006660,jpeg_compression,mild,50.0,22.44935798008775,boat,2,1,0,3,2
202,2007_006660,jpeg_compression,mild,50.0,22.44935798008775,car,1,0,0,1,1
202,2007_006660,jpeg_compression,medium,20.0,19.08183651789038,boat,0,1,2,1,2
202,2007_006660,jpeg_compression,medium,20.0,19.08183651789038,car,1,1,0,2,1
202,2007_006660,jpeg_compression,severe,5.0,15.218170706070328,boat,0,0,2,0,2
202,2007_006660,jpeg_compression,severe,5.0,15.218170706070328,car,0,0,1,0,1
202,2007_006660,jpeg_compression,severe,5.0,15.218170706070328,train,0,1,0,1,0
202,2007_006660,low_light,mild,0.6,7.89801269958322,aeroplane,0,1,0,1,0
202,2007_006660,low_light,mild,0.6,7.89801269958322,boat,2,0,0,2,2
202,2007_006660,low_light,mild,0.6,7.89801269958322,car,1,0,0,1,1
202,2007_006660,low_light,medium,0.35,3.6963050011679144,aeroplane,0,1,0,1,0
202,2007_006660,low_light,medium,0.35,3.6963050011679144,boat,1,0,1,1,2
202,2007_006660,low_light,medium,0.35,3.6963050011679144,car,1,0,0,1,1
202,2007_006660,low_light,severe,0.15,1.3769994247905417,aeroplane,0,1,0,1,0
202,2007_006660,low_light,severe,0.15,1.3769994247905417,boat,0,1,2,1,2
202,2007_006660,low_light,severe,0.15,1.3769994247905417,car,1,0,0,1,1
204,2007_006673,gaussian_noise,mild,10.0,21.38449992508943,boat,4,2,6,6,10
204,2007_006673,gaussian_noise,mild,10.0,21.38449992508943,person,0,4,0,4,0
204,2007_006673,gaussian_noise,medium,25.0,13.442635919100924,boat,0,0,10,0,10
204,2007_006673,gaussian_noise,severe,50.0,7.566452965270755,boat,0,0,10,0,10
204,2007_006673,jpeg_compression,mild,50.0,29.214614216930382,boat,4,5,6,9,10
204,2007_006673,jpeg_compression,mild,50.0,29.214614216930382,person,0,7,0,7,0
204,2007_006673,jpeg_compression,medium,20.0,26.10244238165798,boat,6,2,4,8,10
204,2007_006673,jpeg_compression,severe,5.0,21.702102926746623,boat,0,0,10,0,10
204,2007_006673,jpeg_compression,severe,5.0,21.702102926746623,car,0,1,0,1,0
204,2007_006673,low_light,mild,0.6,7.886233354395423,boat,6,10,4,16,10
204,2007_006673,low_light,mild,0.6,7.886233354395423,person,0,6,0,6,0
204,2007_006673,low_light,medium,0.35,3.692418997312514,boat,7,11,3,18,10
204,2007_006673,low_light,medium,0.35,3.692418997312514,person,0,5,0,5,0
204,2007_006673,low_light,severe,0.15,1.3717603245346912,boat,3,0,7,3,10
210,2007_006899,gaussian_noise,mild,10.0,22.324886135832756,sheep,3,0,0,3,3
210,2007_006899,gaussian_noise,medium,25.0,14.4771718040967,sheep,3,0,0,3,3
210,2007_006899,gaussian_noise,severe,50.0,8.833568695071722,cow,0,1,0,1,0
210,2007_006899,gaussian_noise,severe,50.0,8.833568695071722,dog,0,1,0,1,0
210,2007_006899,gaussian_noise,severe,50.0,8.833568695071722,sheep,1,0,2,1,3
210,2007_006899,jpeg_compression,mild,50.0,22.868503790794247,sheep,3,0,0,3,3
210,2007_006899,jpeg_compression,medium,20.0,20.569116643862433,sheep,3,0,0,3,3
210,2007_006899,jpeg_compression,severe,5.0,17.216756896224656,sheep,0,0,3,0,3
210,2007_006899,low_light,mild,0.6,7.897782626164044,sheep,3,0,0,3,3
210,2007_006899,low_light,medium,0.35,3.696969080480594,sheep,3,0,0,3,3
210,2007_006899,low_light,severe,0.15,1.377399008967809,sheep,3,0,0,3,3
211,2007_006900,gaussian_noise,mild,10.0,22.560169405290207,car,4,3,0,7,4
211,2007_006900,gaussian_noise,medium,25.0,14.985768514795339,car,4,2,0,6,4
211,2007_006900,gaussian_noise,medium,25.0,14.985768514795339,dog,0,1,0,1,0
211,2007_006900,gaussian_noise,severe,50.0,9.713352341289648,car,3,4,1,7,4
211,2007_006900,jpeg_compression,mild,50.0,27.990681217763658,car,4,5,0,9,4
211,2007_006900,jpeg_compression,medium,20.0,24.60485785539726,car,4,2,0,6,4
211,2007_006900,jpeg_compression,severe,5.0,19.474597996729468,car,0,0,4,0,4
211,2007_006900,low_light,mild,0.6,7.904493165238468,car,4,2,0,6,4
211,2007_006900,low_light,medium,0.35,3.704936735481006,car,4,2,0,6,4
211,2007_006900,low_light,severe,0.15,1.3791114287339725,car,4,2,0,6,4
214,2007_007021,gaussian_noise,mild,10.0,21.929605944008888,bottle,2,0,0,2,2
214,2007_007021,gaussian_noise,mild,10.0,21.929605944008888,chair,0,4,0,4,0
214,2007_007021,gaussian_noise,mild,10.0,21.929605944008888,diningtable,1,0,0,1,1
214,2007_007021,gaussian_noise,mild,10.0,21.929605944008888,pottedplant,0,1,0,1,0
214,2007_007021,gaussian_noise,mild,10.0,21.929605944008888,tvmonitor,0,1,0,1,0
214,2007_007021,gaussian_noise,medium,25.0,14.138827193454048,bottle,2,0,0,2,2
214,2007_007021,gaussian_noise,medium,25.0,14.138827193454048,chair,0,3,0,3,0
214,2007_007021,gaussian_noise,medium,25.0,14.138827193454048,diningtable,1,0,0,1,1
214,2007_007021,gaussian_noise,severe,50.0,8.496424781253566,bottle,0,0,2,0,2
214,2007_007021,gaussian_noise,severe,50.0,8.496424781253566,diningtable,0,0,1,0,1
214,2007_007021,jpeg_compression,mild,50.0,22.664685773015098,bottle,2,0,0,2,2
214,2007_007021,jpeg_compression,mild,50.0,22.664685773015098,chair,0,3,0,3,0
214,2007_007021,jpeg_compression,mild,50.0,22.664685773015098,diningtable,1,0,0,1,1
214,2007_007021,jpeg_compression,mild,50.0,22.664685773015098,tvmonitor,0,1,0,1,0
214,2007_007021,jpeg_compression,medium,20.0,20.10863273587713,bottle,2,0,0,2,2
214,2007_007021,jpeg_compression,medium,20.0,20.10863273587713,chair,0,2,0,2,0
214,2007_007021,jpeg_compression,medium,20.0,20.10863273587713,diningtable,1,0,0,1,1
214,2007_007021,jpeg_compression,medium,20.0,20.10863273587713,tvmonitor,0,1,0,1,0
214,2007_007021,jpeg_compression,severe,5.0,15.965400938635163,bottle,0,0,2,0,2
214,2007_007021,jpeg_compression,severe,5.0,15.965400938635163,diningtable,0,0,1,0,1
214,2007_007021,low_light,mild,0.6,7.895887862353317,bottle,2,0,0,2,2
214,2007_007021,low_light,mild,0.6,7.895887862353317,chair,0,5,0,5,0
214,2007_007021,low_light,mild,0.6,7.895887862353317,diningtable,1,0,0,1,1
214,2007_007021,low_light,mild,0.6,7.895887862353317,pottedplant,0,1,0,1,0
214,2007_007021,low_light,mild,0.6,7.895887862353317,tvmonitor,0,1,0,1,0
